id,s_id,stamp,time,amplitude
738,738,20230502185210,850240,219
739,739,20230502185210,851392,212
740,740,20230502185210,852544,210
741,741,20230502185210,853696,215
742,742,20230502185210,854848,217
743,743,20230502185210,856000,225
744,744,20230502185210,857152,218
745,745,20230502185210,858304,210
746,746,20230502185210,859456,206
747,747,20230502185210,860608,211
748,748,20230502185210,861760,215
749,749,20230502185210,862912,222
750,750,20230502185210,864064,222
751,751,20230502185210,865216,215
752,752,20230502185210,866368,210
753,753,20230502185210,867520,209
754,754,20230502185210,868672,214
755,755,20230502185210,869824,218
756,756,20230502185210,870976,227
757,757,20230502185210,872128,222
758,758,20230502185210,873280,215
759,759,20230502185210,874432,211
760,760,20230502185210,875584,212
761,761,20230502185210,876736,215
762,762,20230502185210,877888,223
763,763,20230502185210,879040,222
764,764,20230502185210,880192,214
765,765,20230502185210,881344,208
766,766,20230502185210,882496,209
767,767,20230502185210,883648,213
768,768,20230502185210,884800,218
769,769,20230502185210,885952,222
770,770,20230502185210,887104,216
771,771,20230502185210,888256,210
772,772,20230502185210,889408,206
773,773,20230502185210,890560,212
774,774,20230502185210,891712,215
775,775,20230502185210,892864,222
776,776,20230502185210,894016,222
777,777,20230502185210,895168,217
778,778,20230502185210,896320,211
779,779,20230502185210,897472,210
780,780,20230502185210,898624,215
781,781,20230502185210,899776,218
782,782,20230502185210,900928,228
783,783,20230502185210,902080,223
784,784,20230502185210,903232,217
785,785,20230502185210,904384,212
786,786,20230502185210,905536,212
787,787,20230502185210,906688,216
788,788,20230502185210,907840,218
789,789,20230502185210,908992,223
790,790,20230502185210,910144,217
791,791,20230502185210,911296,211
792,792,20230502185210,912448,210
793,793,20230502185210,913600,214
794,794,20230502185210,914752,218
795,795,20230502185210,915904,221
796,796,20230502185210,917056,217
797,797,20230502185210,918208,211
798,798,20230502185210,919360,208
799,799,20230502185210,920512,212
800,800,20230502185210,921664,215
801,801,20230502185210,922816,221
802,802,20230502185210,923968,219
803,803,20230502185210,925120,216
804,804,20230502185210,926272,211
805,805,20230502185210,927424,210
806,806,20230502185210,928576,214
807,807,20230502185210,929728,219
